name,price,capacity,price_per_gb,type,cache,form_factor,interface,storage_type,capacity_gb
Samsung 990 Pro,318.35,4000.0,0.08,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4,SSD,
Samsung 990 EVO,89.99,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X2,SSD,
Samsung 980 Pro w/Heatsink,183.55,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,SSD,
Mushkin Gamma,849.99,8000.0,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4,SSD,
ADATA Falcon,151.66,1000.0,0.152,SSD,,M.2-2280,M.2 PCIe 3.0 X4,SSD,
Toshiba MG10 512e,339.0,20000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s,HDD,
Dell 342-3520,139.0,1000.0,0.139,7200,,2.5,SAS 3.0 Gb/s,HDD,
Toshiba MG06ACA10TE,241.77,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,HDD,
Toshiba MG06ACA600E,159.99,6000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s,HDD,
Toshiba MG06ACA800E,279.99,8000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s,HDD,
